text,label
Discover the key to anti-aging! Order your trial kit now from http://offers.com.,spam
"Dear Alex,

Your flight to New York has been rescheduled. Your new departure date is April 24.",legitimate
Discover the key to anti-aging! Order your trial kit now from http://example.com.,spam
"Hello Michael,

Your meeting with Jane is scheduled for April 24 at 5:00 PM.",legitimate
"Congratulations! You've won a cash prize of $5,000. Contact us at promo@example.com to claim your prize.",spam
You're the lucky winner of the EuroMillions lottery! Claim your prize now by visiting http://example.com.,spam
Your account has been compromised! Reset your password at http://offers.com.,spam
"Hello Jane,

I wanted to follow up on our conversation. Can we schedule a time to discuss this further?",legitimate
Alert! Suspicious activity detected in your account. Please verify your account information by clicking [here](http://example.com).,spam
Get the best deal! Renew your subscription now at http://offers.com for exclusive benefits.,spam
You've been selected for a special offer! Buy headphones now and get a 50% discount.,spam
"Your invoice for $1,000 is attached. Please pay by June 1 to avoid late fees.",spam
Your account has been compromised! Reset your password at http://example.com.,spam
Your invoice for $500 is attached. Please pay by April 24 to avoid late fees.,spam
"Hi Alex,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
"Dear Alex,

Your flight to Maldives has been rescheduled. Your new departure date is July 15.",legitimate
System alert! Your account has been compromised. Secure it now at http://offers.com.,spam
Your account has been compromised! Reset your password at http://example.com.,spam
"Hello John,

We value your opinion! Please take a moment to fill out our survey on user experience.",legitimate
"Dear Alex,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
Get a loan at an unbeatable interest rate! Visit http://example.com for more information.,spam
"Hi John,

Your hotel reservation at Maldives has been confirmed. Check-in is at 5:00 PM.",legitimate
"Receipt of payment received for camera. For more details, click [here](http://promo.com).",spam
"Dear Alex,

Thank you for your kind email. I appreciate your support and look forward to our collaboration.",legitimate
"Receipt of payment received for phone. For more details, click [here](http://promo.com).",spam
"Hi Emily,

Hope your week is going well! Let me know if you have any updates to share.",legitimate
Immediate action required! Update your payment information at [this link](http://example.com) to avoid account suspension.,spam
"Dear Alex,

You have a pending renewal for cloud storage. Please visit https://www.amazon.com to update your payment information.",legitimate
"Earn $5,000/hour working from home! Apply now at http://promo.com.",spam
"Hello Jane,

Thank you for your application. We'll get back to you shortly.",legitimate
"Hi John,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
"Hi John,

Your flight reservation for Maldives on June 1 is confirmed.",legitimate
"Hi Emily,

Your order for phone has been confirmed and is being processed.",legitimate
"Hi Emily,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
"Hi Alex,

Your flight reservation for Maldives on April 24 is confirmed.",legitimate
Your account has been compromised! Reset your password at http://offers.com.,spam
"Hi Michael,

Your flight reservation for Hawaii on August 5 is confirmed.",legitimate
"Congratulations! You've won a cash prize of $10,000. Contact us at offers@example.com to claim your prize.",spam
You've been selected for a special offer! Buy phone now and get a 30% discount.,spam
"Earn $50,000/hour working from home! Apply now at http://offers.com.",spam
System alert! Your account has been compromised. Secure it now at http://promo.com.,spam
"Hello John,

Your account balance is $2,000.00. If you have any questions, please let us know.",legitimate
Get high returns on your investment! Learn how at http://offers.com.,spam
Your loan application has been approved! Click [here](http://example.com) to finalize the process.,spam
You've been selected for a special offer! Buy headphones now and get a 50% discount.,spam
"Hi Alex,

Your appointment with Dr. Jones is set for April 24 at 9:00 AM. Please let us know if you have any questions.",legitimate
"Exclusive offer just for you! Buy one laptop, get one free! Click [here](http://offers.com) to redeem.",spam
"Your invoice for $5,000 is attached. Please pay by June 1 to avoid late fees.",spam
"Dear Jane,

Thank you for your support. We appreciate your business.",legitimate
Get access to exclusive content! Sign up now at http://offers.com.,spam
"Dear Alex,

Thank you for your kind email. I appreciate your support and look forward to our collaboration.",legitimate
Get access to exclusive content! Sign up now at http://example.com.,spam
"Hi Michael,

Your subscription to VPN will end on June 1. Renew now to continue enjoying our services!",legitimate
Exclusive investment opportunity! Double your money in 3 months. Visit http://promo.com for details.,spam
"Hi Emily,

Your feedback helps us improve. Please rate our service at https://www.microsoft.com.",legitimate
"Earn $5,000/hour working from home! Apply now at http://example.com.",spam
"Hi John,

Your order for laptop has been confirmed and is being processed.",legitimate
"Receipt of payment received for laptop. For more details, click [here](http://offers.com).",spam
"Hi John,

Your feedback helps us improve. Please rate our service at https://www.microsoft.com.",legitimate
Get a loan at an unbeatable interest rate! Visit http://offers.com for more information.,spam
You're the lucky winner of the EuroMillions lottery! Claim your prize now by visiting http://promo.com.,spam
Unlock the secrets to rapid weight loss! Learn more at http://example.com.,spam
"Hi Jane,

Hope your week is going well! Let me know if you have any updates to share.",legitimate
Huge sale! Get phone for a special price at http://promo.com.,spam
"Your invoice for $10,000 is attached. Please pay by June 1 to avoid late fees.",spam
You've been selected for a special offer! Buy phone now and get a 20% discount.,spam
"Hello John,

We value your opinion! Please take a moment to fill out our survey on product quality.",legitimate
"Hi Emily,

Your subscription to cloud storage will end on May 10. Renew now to continue enjoying our services!",legitimate
"Dear John,

You have a pending renewal for newsletter. Please visit https://www.amazon.com to update your payment information.",legitimate
"Hello Emily,

I wanted to follow up on our conversation. Can we schedule a time to discuss this further?",legitimate
Congratulations! You've won a cash prize of $500. Contact us at promo@example.com to claim your prize.,spam
Alert! Suspicious activity detected in your account. Please verify your account information by clicking [here](http://example.com).,spam
"Congratulations! You've won a cash prize of $5,000. Contact us at spammer@example.com to claim your prize.",spam
"Hello Michael,

Your subscription will renew on August 5. If you have any questions, please contact us.",legitimate
"Hello Michael,

Your meeting with Robert is scheduled for April 24 at 6:30 PM.",legitimate
"Hi Michael,

Your flight reservation for Paris on May 10 is confirmed.",legitimate
Unlock the secrets to rapid weight loss! Learn more at http://promo.com.,spam
"Hello Emily,

I wanted to follow up on our conversation. Can we schedule a time to discuss this further?",legitimate
You've won a lottery! Claim your prize by sending your details to promo@example.com.,spam
Huge sale! Get 20%% off on headphones! Shop now at http://offers.com.,spam
"Hi Michael,

Your subscription to streaming will end on April 24. Renew now to continue enjoying our services!",legitimate
You've won a lottery! Claim your prize by sending your details to offers@example.com.,spam
Your account has been compromised! Reset your password at http://offers.com.,spam
"Hi Michael,

Your feedback helps us improve. Please rate our service at https://www.google.com.",legitimate
"Dear Emily,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
Get a loan at an unbeatable interest rate! Visit http://offers.com for more information.,spam
"Receipt of payment received for phone. For more details, click [here](http://promo.com).",spam
"Dear Michael,

Your flight to New York has been rescheduled. Your new departure date is July 15.",legitimate
Huge sale! Get 20%% off on laptop! Shop now at http://offers.com.,spam
"Dear John,

Thank you for your kind email. I appreciate your support and look forward to our collaboration.",legitimate
Earn money from home! Learn how at http://example.com.,spam
"Hi Alex,

Your flight reservation for New York on June 1 is confirmed.",legitimate
Immediate job openings available! No experience required. Visit http://offers.com to apply.,spam
Get a loan at an unbeatable interest rate! Visit http://example.com for more information.,spam
"Hello John,

We value your opinion! Please take a moment to fill out our survey on customer service.",legitimate
"Dear Emily,

Thank you for your kind email. I appreciate your support and look forward to our collaboration.",legitimate
Congratulations! You've won a free vacation to Maldives. Click here to claim your prize.,spam
Huge sale! Get phone for a special price at http://offers.com.,spam
"Dear Michael,

Your recent order for phone will arrive on August 5. Thank you for shopping with us!",legitimate
"Hi Michael,

Your feedback helps us improve. Please rate our service at https://www.google.com.",legitimate
Unlock the secrets to rapid weight loss! Learn more at http://offers.com.,spam
"Hi Alex,

Your hotel reservation at Paris has been confirmed. Check-in is at 6:30 PM.",legitimate
Unlock the secrets to financial freedom! Attend our free webinar by registering at http://example.com.,spam
"Hi Emily,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
"Hi John,

Your order for phone has been confirmed and is being processed.",legitimate
Limited-time offer: Get phone for $99.99! Visit http://offers.com to buy now.,spam
"Get approved for a loan up to $1,000 with a low interest rate! Apply today at http://promo.com.",spam
Your subscription will renew on August 5. Update your payment information at http://example.com.,spam
Discover the key to anti-aging! Order your trial kit now from http://promo.com.,spam
"Dear Emily,

Your recent order for smartwatch will arrive on July 15. Thank you for shopping with us!",legitimate
Unlock the secrets to financial freedom! Attend our free webinar by registering at http://example.com.,spam
"Dear Jane,

Your order for phone has been shipped. Track your package with the tracking number 293021.",legitimate
Get high returns on your investment! Learn how at http://example.com.,spam
Get the best deal! Renew your subscription now at http://promo.com for exclusive benefits.,spam
"Dear Alex,

Your flight to Maldives has been rescheduled. Your new departure date is August 5.",legitimate
You're the lucky winner of the Powerball lottery! Claim your prize now by visiting http://example.com.,spam
Limited-time offer: Get smartwatch for $99.99! Visit http://offers.com to buy now.,spam
"Dear John,

Your order for phone has been shipped. Track your package with the tracking number 654321.",legitimate
"Receipt of payment received for headphones. For more details, click [here](http://offers.com).",spam
"Hello Michael,

Your account balance is $500.00. If you have any questions, please let us know.",legitimate
"Exclusive offer just for you! Buy one camera, get one free! Click [here](http://promo.com) to redeem.",spam
"Hi Michael,

Your order for phone has been confirmed and is being processed.",legitimate
Get the best deal! Renew your subscription now at http://offers.com for exclusive benefits.,spam
"Your invoice for $5,000 is attached. Please pay by August 5 to avoid late fees.",spam
"Dear Alex,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
"Hi John,

Your flight reservation for Paris on June 1 is confirmed.",legitimate
"Hi Michael,

Your hotel reservation at Paris has been confirmed. Check-in is at 3:00 PM.",legitimate
Your subscription will renew on June 1. Update your payment information at http://example.com.,spam
Get a loan at an unbeatable interest rate! Visit http://promo.com for more information.,spam
"Hi Alex,

Your appointment with Dr. Johnson is set for July 15 at 5:00 PM. Please let us know if you have any questions.",legitimate
"Dear Emily,

Your flight to New York has been rescheduled. Your new departure date is July 15.",legitimate
"Hello Jane,

Your meeting with Emily is scheduled for June 1 at 5:00 PM.",legitimate
Get access to exclusive content! Sign up now at http://promo.com.,spam
"Receipt of payment received for smartwatch. For more details, click [here](http://promo.com).",spam
"Hello Emily,

Your subscription will renew on May 10. If you have any questions, please contact us.",legitimate
Huge sale! Get phone for a special price at http://promo.com.,spam
"Hi Emily,

Your order for headphones has been confirmed and is being processed.",legitimate
"Exclusive offer just for you! Buy one laptop, get one free! Click [here](http://promo.com) to redeem.",spam
"Hello Jane,

Your account balance is $500.00. If you have any questions, please let us know.",legitimate
"Earn $1,000/hour working from home! Apply now at http://promo.com.",spam
"Hi John,

Hope your week is going well! Let me know if you have any updates to share.",legitimate
"Receipt of payment received for phone. For more details, click [here](http://example.com).",spam
"Hi John,

Your appointment for August 5 has been confirmed. Please let us know if you need to reschedule.",legitimate
"Hi Alex,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
System alert! Your account has been compromised. Secure it now at http://offers.com.,spam
"Dear Alex,

Thank you for your kind email. I appreciate your support and look forward to our collaboration.",legitimate
Unlock the secrets to financial freedom! Attend our free webinar by registering at http://example.com.,spam
"Congratulations! You've won a cash prize of $5,000. Contact us at promo@example.com to claim your prize.",spam
Your loan application has been approved! Click [here](http://offers.com) to finalize the process.,spam
"Hi Jane,

Your subscription to cloud storage will end on June 1. Renew now to continue enjoying our services!",legitimate
Immediate job openings available! No experience required. Visit http://offers.com to apply.,spam
System alert! Your account has been compromised. Secure it now at http://promo.com.,spam
Unlock the secrets to financial freedom! Attend our free webinar by registering at http://promo.com.,spam
"Hi Jane,

Your subscription to email subscription will end on August 5. Renew now to continue enjoying our services!",legitimate
Your loan application has been approved! Click [here](http://example.com) to finalize the process.,spam
"Hi Emily,

Your order for headphones has been confirmed and is being processed.",legitimate
"Hi Alex,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
"Hi Alex,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
"Dear John,

Your recent order for headphones will arrive on April 24. Thank you for shopping with us!",legitimate
"Hi Michael,

Your order for phone has been confirmed and is being processed.",legitimate
"Dear Emily,

Your flight to New York has been rescheduled. Your new departure date is April 24.",legitimate
"Hi Jane,

Your subscription to cloud storage will end on April 24. Renew now to continue enjoying our services!",legitimate
"Hi Alex,

Let's schedule a meeting for April 24. Let me know if that works for you.",legitimate
"Dear Alex,

Your order for smartwatch has been shipped. Track your package with the tracking number 789012.",legitimate
"Hi Emily,

Your subscription to cloud storage will end on July 15. Renew now to continue enjoying our services!",legitimate
"Hi Jane,

Let's schedule a meeting for April 24. Let me know if that works for you.",legitimate
Your subscription will renew on April 24. Update your payment information at http://offers.com.,spam
Exclusive investment opportunity! Double your money in 1 year. Visit http://offers.com for details.,spam
"Hello Emily,

Your meeting with John is scheduled for August 5 at 6:30 PM.",legitimate
"Hi John,

Your appointment for August 5 has been confirmed. Please let us know if you need to reschedule.",legitimate
"Your invoice for $5,000 is attached. Please pay by May 10 to avoid late fees.",spam
Alert! Suspicious activity detected in your account. Please verify your account information by clicking [here](http://offers.com).,spam
"Dear Alex,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
"Hi Emily,

Let's schedule a meeting for June 1. Let me know if that works for you.",legitimate
"Dear Jane,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
"Dear Alex,

You have a pending renewal for software suite. Please visit https://www.apple.com to update your payment information.",legitimate
"Hi Emily,

Your flight reservation for Hawaii on May 10 is confirmed.",legitimate
"Dear Jane,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
"Dear Alex,

Your flight to Tokyo has been rescheduled. Your new departure date is May 10.",legitimate
Earn $500/hour working from home! Apply now at http://offers.com.,spam
Earn money from home! Learn how at http://example.com.,spam
"Receipt of payment received for phone. For more details, click [here](http://offers.com).",spam
Immediate action required! Update your payment information at [this link](http://offers.com) to avoid account suspension.,spam
Get approved for a loan up to $500 with a low interest rate! Apply today at http://offers.com.,spam
Earn money from home! Learn how at http://example.com.,spam
"Hi Jane,

Your feedback helps us improve. Please rate our service at https://www.google.com.",legitimate
"Dear Alex,

Your order for laptop has been shipped. Track your package with the tracking number 654321.",legitimate
Limited-time offer: Get laptop for $19.99! Visit http://promo.com to buy now.,spam
"Dear John,

Your order for headphones has been shipped. Track your package with the tracking number 654321.",legitimate
"Dear Emily,

Just wanted to catch up and see how things are going on your end.",legitimate
Your subscription will renew on August 5. Update your payment information at http://example.com.,spam
Exclusive investment opportunity! Double your money in 6 months. Visit http://offers.com for details.,spam
"Receipt of payment received for phone. For more details, click [here](http://promo.com).",spam
"Hello Michael,

We value your opinion! Please take a moment to fill out our survey on user experience.",legitimate
"Get approved for a loan up to $50,000 with a low interest rate! Apply today at http://offers.com.",spam
Earn money from home! Learn how at http://example.com.,spam
"Hello Alex,

We value your opinion! Please take a moment to fill out our survey on user experience.",legitimate
"Earn $5,000/hour working from home! Apply now at http://example.com.",spam
"Dear Alex,

Just wanted to catch up and see how things are going on your end.",legitimate
Your loan application has been approved! Click [here](http://offers.com) to finalize the process.,spam
"Hi Michael,

Your appointment with Dr. Johnson is set for July 15 at 9:00 AM. Please let us know if you have any questions.",legitimate
"Exclusive offer just for you! Buy one camera, get one free! Click [here](http://example.com) to redeem.",spam
Congratulations! You've won a free vacation to Paris. Click here to claim your prize.,spam
Your loan application has been approved! Click [here](http://example.com) to finalize the process.,spam
"Dear Jane,

Thank you for your support. We appreciate your business.",legitimate
"Hello John,

Your account balance is $1,000.00. If you have any questions, please let us know.",legitimate
System alert! Your account has been compromised. Secure it now at http://offers.com.,spam
"Dear Alex,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
Get the best deal! Renew your subscription now at http://offers.com for exclusive benefits.,spam
Your computer is infected! Call our helpline at 555-1234 for immediate assistance.,spam
"Dear Emily,

You have a pending renewal for cloud storage. Please visit https://www.amazon.com to update your payment information.",legitimate
Immediate job openings available! No experience required. Visit http://offers.com to apply.,spam
"Hi Jane,

Your appointment for July 15 has been confirmed. Please let us know if you need to reschedule.",legitimate
"Hi Alex,

Your order for camera has been confirmed and is being processed.",legitimate
System alert! Your account has been compromised. Secure it now at http://promo.com.,spam
Immediate action required! Update your payment information at [this link](http://example.com) to avoid account suspension.,spam
Get a loan at an unbeatable interest rate! Visit http://example.com for more information.,spam
"Dear Alex,

Your order for headphones has been shipped. Track your package with the tracking number 654321.",legitimate
"Hi Jane,

Your order for laptop has been confirmed and is being processed.",legitimate
"Hi Alex,

Your hotel reservation at Hawaii has been confirmed. Check-in is at 5:00 PM.",legitimate
Earn money from home! Learn how at http://example.com.,spam
"Hi Michael,

Your appointment for June 1 has been confirmed. Please let us know if you need to reschedule.",legitimate
"Earn $50,000/hour working from home! Apply now at http://offers.com.",spam
Get high returns on your investment! Learn how at http://example.com.,spam
Earn money from home! Learn how at http://example.com.,spam
Get the best deal! Renew your subscription now at http://offers.com for exclusive benefits.,spam
Your computer is infected! Call our helpline at 555-1234 for immediate assistance.,spam
"Hi John,

Hope your week is going well! Let me know if you have any updates to share.",legitimate
"Hello Jane,

Your meeting with Emily is scheduled for May 10 at 3:00 PM.",legitimate
"Exclusive offer just for you! Buy one camera, get one free! Click [here](http://promo.com) to redeem.",spam
"Congratulations! You've won a cash prize of $50,000. Contact us at promo@example.com to claim your prize.",spam
Immediate job openings available! No experience required. Visit http://promo.com to apply.,spam
"Dear Michael,

Just wanted to catch up and see how things are going on your end.",legitimate
System alert! Your account has been compromised. Secure it now at http://example.com.,spam
Your loan application has been approved! Click [here](http://example.com) to finalize the process.,spam
You're the lucky winner of the Powerball lottery! Claim your prize now by visiting http://offers.com.,spam
"Hi John,

Your feedback helps us improve. Please rate our service at https://www.ibm.com.",legitimate
"Hi Emily,

Your flight reservation for New York on August 5 is confirmed.",legitimate
Your loan application has been approved! Click [here](http://offers.com) to finalize the process.,spam
Get high returns on your investment! Learn how at http://promo.com.,spam
Get a loan at an unbeatable interest rate! Visit http://example.com for more information.,spam
"Dear Jane,

Your recent order for camera will arrive on June 1. Thank you for shopping with us!",legitimate
"Get approved for a loan up to $10,000 with a low interest rate! Apply today at http://example.com.",spam
Immediate job openings available! No experience required. Visit http://promo.com to apply.,spam
You're the lucky winner of the Powerball lottery! Claim your prize now by visiting http://example.com.,spam
"Hello Alex,

We value your opinion! Please take a moment to fill out our survey on technical support.",legitimate
Unlock the secrets to rapid weight loss! Learn more at http://promo.com.,spam
Get the best deal! Renew your subscription now at http://promo.com for exclusive benefits.,spam
Earn $500/hour working from home! Apply now at http://promo.com.,spam
"Dear Emily,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
"Hi Jane,

Your appointment with Dr. Johnson is set for April 24 at 11:00 AM. Please let us know if you have any questions.",legitimate
"Hi Michael,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
Immediate job openings available! No experience required. Visit http://example.com to apply.,spam
"Hello Alex,

We value your opinion! Please take a moment to fill out our survey on technical support.",legitimate
"Hello John,

We value your opinion! Please take a moment to fill out our survey on website design.",legitimate
Alert! Suspicious activity detected in your account. Please verify your account information by clicking [here](http://example.com).,spam
Get the best deal! Renew your subscription now at http://offers.com for exclusive benefits.,spam
"Hello Jane,

We value your opinion! Please take a moment to fill out our survey on shipping and delivery.",legitimate
"Hello John,

Your subscription will renew on August 5. If you have any questions, please contact us.",legitimate
Exclusive investment opportunity! Double your money in 1 year. Visit http://example.com for details.,spam
"Dear Jane,

You have a pending renewal for gaming subscription. Please visit https://www.apple.com to update your payment information.",legitimate
"Dear Jane,

You have a pending renewal for gaming subscription. Please visit https://www.ibm.com to update your payment information.",legitimate
Exclusive investment opportunity! Double your money in 2 years. Visit http://offers.com for details.,spam
"Hello Alex,

Thank you for your application. We'll get back to you shortly.",legitimate
"Dear Michael,

Just wanted to catch up and see how things are going on your end.",legitimate
"Receipt of payment received for headphones. For more details, click [here](http://promo.com).",spam
Huge sale! Get laptop for a special price at http://offers.com.,spam
"Dear Michael,

Thank you for your support. We appreciate your business.",legitimate
"Dear John,

Thank you for your support. We appreciate your business.",legitimate
You're the lucky winner of the EuroMillions lottery! Claim your prize now by visiting http://promo.com.,spam
Get a loan at an unbeatable interest rate! Visit http://promo.com for more information.,spam
"Hello John,

I wanted to follow up on our conversation. Can we schedule a time to discuss this further?",legitimate
"Hi Michael,

Your subscription to music streaming will end on August 5. Renew now to continue enjoying our services!",legitimate
Limited-time offer: Get phone for $99.99! Visit http://promo.com to buy now.,spam
"Hi Emily,

Your appointment with Dr. Patel is set for May 10 at 9:00 AM. Please let us know if you have any questions.",legitimate
"Dear John,

Your recent order for headphones will arrive on April 24. Thank you for shopping with us!",legitimate
"Hi Jane,

Your subscription to music streaming will end on April 24. Renew now to continue enjoying our services!",legitimate
"Dear Emily,

Your flight to New York has been rescheduled. Your new departure date is July 15.",legitimate
Your account has been compromised! Reset your password at http://promo.com.,spam
"Hi Alex,

Your order for smartwatch has been confirmed and is being processed.",legitimate
"Hi Alex,

Hope your week is going well! Let me know if you have any updates to share.",legitimate
"Hi Alex,

Your subscription to email subscription will end on August 5. Renew now to continue enjoying our services!",legitimate
"Earn $5,000/hour working from home! Apply now at http://offers.com.",spam
Discover the key to anti-aging! Order your trial kit now from http://promo.com.,spam
Unlock the secrets to financial freedom! Attend our free webinar by registering at http://example.com.,spam
Alert! Suspicious activity detected in your account. Please verify your account information by clicking [here](http://example.com).,spam
"Hello John,

Your meeting with John is scheduled for May 10 at 6:30 PM.",legitimate
Alert! Suspicious activity detected in your account. Please verify your account information by clicking [here](http://promo.com).,spam
Get the best deal! Renew your subscription now at http://offers.com for exclusive benefits.,spam
"Get approved for a loan up to $10,000 with a low interest rate! Apply today at http://promo.com.",spam
